"log2FoldChange"	"padj"
"ENSG00000196772"	21.9556833884966	5.4646478433304e-09
"ENSG00000197591"	21.7269890011721	1.50225411117575e-08
"ENSG00000238243"	6.65676424226548	0.0117731332344895
"ENSG00000279263"	23.4485245414064	4.65233130239383e-09
"ENSG00000187080"	23.5872049944801	4.45580263597368e-09
"ENSG00000237492"	20.2832488925405	1.13364470919274e-07
"ENSG00000196071"	5.86086525509881	0.0472884009996246
"ENSG00000177233"	23.1186288406006	4.94450496499657e-09
"ENSG00000162727"	21.5881133492885	1.74650343759371e-08
"ENSG00000198601"	22.6693456668745	5.53225182484573e-09
"ENSG00000228198"	23.5353115546434	4.51320178072864e-09
"ENSG00000177201"	21.442205869057	2.0510670593735e-08
"ENSG00000177174"	23.3078481266333	4.78148815987686e-09
"ENSG00000196944"	23.2808685297065	4.78148815987686e-09
"ENSG00000175143"	23.4376062771675	4.65233130239383e-09
"ENSG00000227152"	22.1988575553694	8.89292778636244e-09
"ENSG00000196539"	23.0048591953118	5.14879900974307e-09
"ENSG00000183310"	21.8203612699106	1.33148472278205e-08
"ENSG00000184022"	22.4684115858114	6.36551047594301e-09
"ENSG00000279301"	22.5319061851642	5.55710737687035e-09
"ENSG00000177151"	21.8556670952102	1.27351115817855e-08
"ENSG00000187701"	21.9967881393363	1.11209373477265e-08
"ENSG00000188525"	21.2566023485089	2.59270459313798e-08
"ENSG00000151779"	1.47745929933999	0.0480442008487655
"ENSG00000084674"	6.94320422754205	0.0119895083935368
"ENSG00000143994"	4.47871441298209	0.0366154147722571
"ENSG00000084774"	0.943904766272012	0.0231873028119463
"ENSG00000150938"	3.01917985404884	0.0208637309961415
"ENSG00000008869"	1.35028376632418	0.0194276021774029
"ENSG00000225402"	9.30020027748185	0.0323508089119221
"ENSG00000152527"	3.16738584908094	0.0280199370643152
"ENSG00000115306"	1.94616085843664	0.02916145576198
"ENSG00000163217"	22.7179960708821	5.4646478433304e-09
"ENSG00000183607"	22.9887116992326	5.14879900974307e-09
"ENSG00000169605"	21.7484372322701	1.46413732739167e-08
"ENSG00000204872"	21.0700677303213	3.32247787827539e-08
"ENSG00000172023"	21.5882612279623	1.74650343759371e-08
"ENSG00000115386"	22.5505930203089	6.09053323790666e-09
"ENSG00000204787"	21.098567068248	3.20035011277436e-08
"ENSG00000172016"	21.4068218764395	2.1334086668961e-08
"ENSG00000234429"	22.0496876437141	1.06433597343424e-08
"ENSG00000246575"	3.06035744878489	0.0454743923502419
"ENSG00000204745"	4.02872073985652	0.0324998307856564
"ENSG00000275597"	20.3908800912531	3.39517096914992e-08
"ENSG00000226481"	20.911663483308	4.08386046823504e-08
"ENSG00000229089"	6.99039540504611	0.00689536042819675
"ENSG00000232717"	22.259561445743	8.22798220072167e-09
"ENSG00000144015"	22.3993370418984	6.86034013384003e-09
"ENSG00000188886"	5.28383538703238	0.0168700475350932
"ENSG00000158050"	-1.79522116547688	0.00116288618185981
"ENSG00000144188"	23.1774048743146	4.9192359369942e-09
"ENSG00000170500"	3.1504650823209	0.0340654473531558
"ENSG00000115598"	5.86847683894147	0.0447977961539172
"ENSG00000236596"	21.6929724368518	1.55735865941146e-08
"ENSG00000115641"	-2.07815473113601	0.000129426568327121
"ENSG00000153165"	5.78231590350858	0.0231491637689847
"ENSG00000196228"	22.969780431365	5.14879900974307e-09
"ENSG00000135968"	1.12948160042024	0.00853073001996061
"ENSG00000169607"	4.43597574598471	0.0491009518685955
"ENSG00000125571"	21.606314709158	1.72470274257356e-08
"ENSG00000136688"	22.4237048009164	6.62004206681133e-09
"ENSG00000136697"	22.3899693414222	6.93281894226774e-09
"ENSG00000163064"	21.3869874624775	2.16842658003162e-08
"ENSG00000152076"	3.90613187873993	0.02892336121836
"ENSG00000214077"	5.99021208998853	0.00392948797175714
"ENSG00000163040"	2.92385471737168	0.0307186821234037
"ENSG00000237939"	21.3787204300967	2.17488528747784e-08
"ENSG00000232992"	21.4636776648526	2.0227766999544e-08
"ENSG00000224337"	19.5708258469455	3.76781780030451e-07
"ENSG00000136542"	5.64994426977989	0.0427315490711145
"ENSG00000153246"	4.88146042344155	0.0129629363464231
"ENSG00000184611"	5.98546142649835	0.0267796747440001
"ENSG00000136531"	6.98988148553841	0.037740153868323
"ENSG00000214211"	23.1459103893867	4.9192359369942e-09
"ENSG00000128652"	4.73433302159518	0.00142745629640136
"ENSG00000155657"	8.38931806152227	0.00434826400776489
"ENSG00000237964"	22.0105620341781	1.09486262804939e-08
"ENSG00000144331"	5.67663924126046	0.0120837036193677
"ENSG00000144369"	3.84416208125201	0.0106874568958324
"ENSG00000173559"	-1.42982228566887	0.0247277104127438
"ENSG00000152430"	21.7794540048985	1.40557326910965e-08
"ENSG00000138356"	5.87119041881678	0.0459219066351254
"ENSG00000180105"	22.4056974053991	6.81725997495287e-09
"ENSG00000144410"	5.06946771244489	0.0149412262513194
"ENSG00000163254"	21.4473269585353	2.04801971295616e-08
"ENSG00000168582"	21.8985587066406	1.22158091671762e-08
"ENSG00000144406"	6.42628303511558	0.00764803369401318
"ENSG00000168530"	23.1102784420429	4.94450496499657e-09
"ENSG00000021826"	4.05376126031047	0.0267775928023003
"ENSG00000178568"	4.22687639514988	0.0203839719440576
"ENSG00000144452"	5.24295515417843	0.0355611808021643
"ENSG00000163464"	22.6370376780817	5.71015747734128e-09
"ENSG00000163501"	7.0051606987478	0.0038179047643313
"ENSG00000054356"	6.99387900255712	0.0385964179040568
"ENSG00000226666"	4.49244746484014	0.0153113128026641
"ENSG00000203387"	20.783816719453	4.90634575188563e-08
"ENSG00000187957"	4.26293614893436	0.00868391413667534
"ENSG00000171596"	2.44504267458088	0.00527783548213182
"ENSG00000177673"	21.6289677364454	1.68790795970322e-08
"ENSG00000163283"	20.7758286181964	4.95719045577794e-08
"ENSG00000228949"	21.3637668157474	2.22022172377636e-08
"ENSG00000227846"	19.5495031482566	3.89264002156885e-07
"ENSG00000072080"	21.3936113135079	2.14609105805125e-08
"ENSG00000157985"	1.10714403167062	0.01337622461655
"ENSG00000196758"	21.8424318462578	1.29923413879898e-08
"ENSG00000134121"	3.11261323596425	0.00155499297054221
"ENSG00000134115"	5.40908423607976	0.00253653677500987
